team,year,touchdown,field_goal,missed_fg,punt,turnovers,safety,total,end_of_period,blocked_punt,downs,blocked_fg,playoff
CIN,2005,47,28,4,61,20,0,179,18,1,0,0,1
CLE,2005,19,27,2,80,30,0,178,20,0,0,0,0
DAL,2005,36,20,8,82,31,0,194,17,0,0,0,0
DEN,2005,43,24,8,73,16,1,186,20,1,0,0,1
DET,2005,25,19,5,84,30,1,179,15,0,0,0,0
GB,2005,31,20,7,70,45,0,189,16,0,0,0,0
HOU,2005,24,26,8,77,24,0,173,14,0,0,0,0
IND,2005,49,23,3,52,19,0,165,19,0,0,0,1
JAX,2005,39,23,7,83,17,0,193,23,1,0,0,1
KC,2005,43,27,6,65,23,0,183,19,0,0,0,0
LV,2005,32,20,10,82,23,0,183,16,0,0,0,0
LAC,2005,49,21,3,71,28,0,178,6,0,0,0,0
LAR,2005,36,27,4,73,37,1,195,17,0,0,0,0
MIA,2005,33,25,5,89,30,3,202,17,0,0,0,0
MIN,2005,28,25,9,81,30,0,190,17,0,0,0,0
NE,2005,44,20,5,77,24,0,184,13,1,0,0,1
NO,2005,23,25,7,71,43,0,182,13,0,0,0,0
NYG,2005,41,35,7,73,25,0,201,20,0,0,0,0
NYJ,2005,21,22,6,75,34,0,168,10,0,0,0,1
PHI,2005,32,22,7,100,34,0,218,22,1,0,0,0
PIT,2005,42,24,5,69,23,1,183,19,0,0,0,1
SF,2005,17,26,3,108,35,0,196,6,1,0,0,0
SEA,2005,54,18,7,80,17,0,185,9,0,0,0,1
TB,2005,30,22,5,90,23,1,190,19,0,0,0,1
TEN,2005,28,23,6,78,26,1,193,31,0,0,0,0
WAS,2005,40,17,4,87,27,0,192,17,0,0,0,1
ARI,2006,29,28,9,68,30,0,177,11,2,0,0,0
ATL,2006,30,23,9,78,20,0,184,22,2,0,0,0
BAL,2006,32,28,2,86,23,2,192,19,0,0,0,1
BUF,2006,28,23,2,92,29,0,186,12,0,0,0,0
CAR,2006,26,24,3,100,27,1,197,15,1,0,0,0
CHI,2006,38,32,4,77,36,1,201,13,0,0,0,1
CIN,2006,42,25,5,77,24,0,188,15,0,0,0,0
CLE,2006,22,21,8,83,42,0,188,12,0,0,0,0
DAL,2006,47,20,8,56,30,0,176,15,0,0,0,1
DEN,2006,32,27,2,80,30,0,192,21,0,0,0,0
DET,2006,30,29,4,66,39,1,185,16,0,0,0,0
GB,2006,27,26,9,84,33,0,199,20,0,0,0,0
HOU,2006,27,19,6,76,25,0,169,16,0,0,0,0
IND,2006,48,26,3,48,19,0,156,11,1,0,0,1
JAX,2006,40,26,6,73,23,0,188,19,1,0,0,0
KC,2006,35,24,7,72,26,0,182,18,0,0,0,1
LV,2006,12,18,7,78,46,1,180,17,1,0,0,0
LAC,2006,56,26,3,69,15,0,190,21,0,0,0,1
LAR,2006,37,32,5,76,18,0,183,14,1,0,0,0
MIA,2006,23,26,10,86,25,0,190,19,1,0,0,0
MIN,2006,25,21,4,94,32,0,197,21,0,0,0,0
NE,2006,45,20,6,69,27,1,189,21,0,0,0,1
NO,2006,46,23,3,77,23,0,190,18,0,0,0,1
NYG,2006,38,23,4,77,28,1,190,19,0,0,0,1
NYJ,2006,32,24,3,74,25,0,176,17,1,0,0,1
PHI,2006,44,18,5,78,24,0,183,14,0,0,0,1
PIT,2006,39,20,7,65,37,0,188,20,0,0,0,0
SF,2006,28,29,6,81,32,1,189,12,0,0,0,0
SEA,2006,34,25,6,86,34,0,197,12,0,0,0,1
TB,2006,20,17,5,93,32,0,190,23,0,0,0,0
TEN,2006,28,22,6,88,26,2,187,15,0,0,0,0
WAS,2006,32,22,8,82,17,1,179,16,1,0,0,0
ARI,2007,41,21,9,80,36,0,197,9,1,0,0,0
ATL,2007,25,26,8,88,24,0,194,23,0,0,0,0
BAL,2007,24,27,5,79,40,0,186,10,1,0,0,0
BUF,2007,20,24,3,81,21,2,177,26,0,0,0,0
CAR,2007,26,24,4,92,29,0,189,14,0,0,0,0
CHI,2007,26,31,5,94,34,1,205,14,0,0,0,0
CIN,2007,36,31,3,59,30,1,177,17,0,0,0,0
CLE,2007,42,26,4,69,29,1,192,21,0,0,0,0
DAL,2007,50,26,5,63,24,0,182,14,0,0,0,1
DEN,2007,31,27,4,60,29,1,177,23,2,0,0,0
DET,2007,32,29,6,68,36,1,189,17,0,0,0,0
GB,2007,43,31,8,62,24,0,190,20,2,0,0,1
HOU,2007,36,25,4,55,38,0,172,14,0,0,0,0
IND,2007,51,23,6,52,19,2,166,13,0,0,0,1
JAX,2007,46,21,3,54,21,0,169,24,0,0,0,1
