team,year,touchdown,field_goal,missed_fg,punt,turnovers,safety,total,end_of_period,blocked_punt,downs,blocked_fg,playoff
BUF,2017,36,32,3,62,25,0,183,25,0,0,0,1
CAR,2017,32,29,5,69,21,0,180,24,0,0,0,1
CHI,2017,28,29,3,74,22,1,178,21,0,0,0,0
CIN,2017,33,35,5,82,14,0,184,14,1,0,0,0
CLE,2017,42,25,4,83,13,1,188,20,0,0,0,0
DAL,2017,35,19,6,70,21,0,171,20,0,0,0,0
DEN,2017,38,24,3,88,17,2,194,21,1,0,0,0
DET,2017,39,23,6,71,32,0,192,21,0,0,0,0
GB,2017,40,30,3,67,22,0,174,12,0,0,0,0
HOU,2017,44,33,2,81,16,1,194,17,0,0,0,0
IND,2017,38,31,6,64,20,1,174,13,1,0,0,0
JAX,2017,26,22,2,100,33,0,205,22,0,0,0,1
KC,2017,38,22,5,72,26,1,179,15,0,0,0,1
LV,2017,35,34,6,70,14,0,171,12,0,0,0,0
LAC,2017,28,23,4,79,27,2,179,16,0,0,0,0
LAR,2017,36,23,11,80,28,0,193,12,3,0,0,1
MIA,2017,40,27,8,76,15,0,186,19,1,0,0,0
MIN,2017,23,27,3,86,19,1,179,20,0,0,0,1
NE,2017,30,22,9,67,18,0,172,25,1,0,0,1
NO,2017,33,26,5,71,25,0,177,16,1,0,0,1
NYG,2017,42,28,8,74,19,0,197,26,0,0,0,0
NYJ,2017,43,21,8,87,20,1,192,12,0,0,0,0
PHI,2017,31,20,6,83,31,0,188,16,1,0,0,1
PIT,2017,34,20,4,77,22,0,178,20,1,0,0,1
SF,2017,40,31,4,74,20,0,188,19,0,0,0,0
SEA,2017,33,31,4,85,25,2,193,13,0,0,0,0
TB,2017,39,26,4,59,26,0,175,21,0,0,0,0
TEN,2017,32,37,4,75,21,0,185,16,0,0,0,1
WAS,2017,36,34,7,80,23,1,195,14,0,0,0,0
ARI,2018,46,25,6,80,16,1,187,12,1,0,0,0
ATL,2018,49,22,0,61,19,0,171,19,1,0,0,0
BAL,2018,32,20,6,88,17,0,179,16,0,0,0,1
BUF,2018,39,24,3,80,27,0,189,16,0,0,0,0
CAR,2018,45,20,3,64,23,0,171,16,0,0,0,0
CHI,2018,27,25,1,78,36,0,185,18,0,0,0,1
CIN,2018,49,33,3,54,18,0,177,19,1,0,0,0
CLE,2018,41,30,7,71,31,1,201,20,0,0,0,0
DAL,2018,34,27,3,64,20,0,167,19,0,0,0,1
DEN,2018,37,26,5,73,28,0,185,15,1,0,0,0
DET,2018,40,19,9,68,14,0,171,21,0,0,0,0
GB,2018,45,23,8,72,15,1,182,17,1,0,0,0
HOU,2018,36,23,3,80,29,0,187,15,1,0,0,1
IND,2018,33,28,5,67,26,1,172,12,0,0,0,1
JAX,2018,33,27,4,79,17,0,181,21,0,0,0,0
KC,2018,49,22,4,52,27,1,174,18,1,0,0,1
LV,2018,52,25,5,60,17,0,174,15,0,0,0,0
LAC,2018,34,23,7,67,20,0,169,18,0,0,0,1
LAR,2018,43,25,3,66,30,1,178,8,2,0,0,1
MIA,2018,48,24,8,55,28,0,183,19,1,0,0,0
MIN,2018,28,33,3,76,20,0,181,21,0,0,0,0
NE,2018,36,25,4,71,28,0,187,21,2,0,0,1
NO,2018,42,17,6,53,24,0,164,20,2,0,0,1
NYG,2018,42,31,4,66,21,0,181,17,0,0,0,0
NYJ,2018,45,33,6,79,20,1,202,17,1,0,0,0
PHI,2018,36,32,5,65,17,0,176,21,0,0,0,1
PIT,2018,40,22,4,82,15,0,184,20,1,0,0,0
SF,2018,48,24,3,78,7,1,181,20,0,0,0,0
SEA,2018,35,26,7,66,26,0,176,16,0,0,0,1
TB,2018,53,21,2,70,17,1,182,18,0,0,0,0
TEN,2018,30,26,3,71,17,1,172,24,0,0,0,0
WAS,2018,39,21,5,58,26,0,171,22,0,0,0,0
ARI,2019,47,27,5,58,17,0,172,18,0,0,0,0
ATL,2019,41,30,4,58,20,0,167,14,0,0,0,0
BAL,2019,27,27,4,64,25,0,166,19,0,0,0,1
BUF,2019,27,16,10,84,23,1,182,21,0,0,0,1
CAR,2019,52,27,8,68,21,0,197,20,1,0,0,0
CHI,2019,33,23,7,75,19,1,181,23,0,0,0,0
CIN,2019,42,30,4,69,16,0,183,22,0,0,0,0
CLE,2019,44,23,9,61,20,2,182,23,0,0,0,0
DAL,2019,35,26,6,69,17,0,173,20,0,0,0,0
DEN,2019,28,34,5,71,17,0,171,16,0,0,0,0
DET,2019,46,27,7,65,18,0,181,18,0,0,0,0
GB,2019,34,27,5,67,25,0,178,20,0,0,0,1
HOU,2019,45,21,5,56,22,1,170,20,0,0,0,1
IND,2019,37,29,2,55,23,0,170,24,0,0,0,0
JAX,2019,45,22,5,69,19,0,180,20,0,0,0,0
KC,2019,35,21,5,58,23,0,164,22,0,0,0,1
LV,2019,48,20,6,60,15,0,166,17,0,0,0,0
LAC,2019,36,23,10,60,14,0,161,18,0,0,0,0
LAR,2019,38,24,6,73,24,0,185,20,0,0,0,0
MIA,2019,54,31,7,57,16,2,185,18,0,0,0,0
MIN,2019,31,29,4,60,31,1,173,16,1,0,0,1
NE,2019,20,17,2,90,36,0,194,25,4,0,0,1
NO,2019,39,22,2,73,23,0,174,14,1,0,0,1
NYG,2019,49,25,7,71,16,1,186,16,1,0,0,0
NYJ,2019,37,28,6,82,21,3,193,15,1,0,0,0
PHI,2019,40,23,4,86,20,0,188,15,0,0,0,1
PIT,2019,30,25,6,73,38,3,187,12,0,0,0,0
SF,2019,34,17,3,75,27,1,177,20,0,0,0,1
SEA,2019,41,25,10,59,32,0,179,11,1,0,0,1
TB,2019,41,37,6,64,28,1,198,21,0,0,0,0
TEN,2019,39,21,6,71,23,0,189,29,0,0,0,1
WAS,2019,49,25,5,58,22,0,176,16,1,0,0,0
ARI,2020,39,25,5,67,21,2,172,11,2,0,0,0
ATL,2020,49,24,4,54,21,0,174,22,0,0,0,0
BAL,2020,34,16,8,61,22,0,170,29,0,0,0,1
BUF,2020,44,23,2,63,26,0,170,12,0,0,0,1
CAR,2020,45,29,2,51,22,0,161,12,0,0,0,0
CHI,2020,39,29,6,63,18,0,179,24,0,0,0,1
CIN,2020,45,33,5,59,17,0,180,21,0,0,0,0
CLE,2020,47,23,4,50,21,1,165,19,0,0,0,1
DAL,2020,54,24,3,54,23,3,181,20,0,0,0,0
DEN,2020,43,39,3,63,16,2,184,18,0,0,0,0
DET,2020,65,16,4,50,12,0,169,19,3,0,0,0
GB,2020,39,24,3,56,18,0,158,18,0,0,0,1
HOU,2020,54,25,6,51,9,2,168,20,1,0,0,0
IND,2020,40,19,4,64,25,1,168,14,1,0,0,1
JAX,2020,57,31,8,49,17,2,184,19,1,0,0,0
KC,2020,43,18,8,57,22,2,169,19,0,0,0,1
LV,2020,52,32,7,48,15,0,167,13,0,0,0,0
LAC,2020,46,28,4,61,19,1,170,11,0,0,0,0
LAR,2020,29,22,4,84,22,0,183,22,0,0,0,1
MIA,2020,38,17,6,66,29,1,179,21,1,0,0,0
MIN,2020,49,35,4,42,22,2,168,14,0,0,0,0
NE,2020,39,22,5,52,22,0,157,17,0,0,0,0
NO,2020,39,22,4,66,26,0,176,19,0,0,0,1
NYG,2020,36,32,4,55,22,1,164,14,0,0,0,0
NYJ,2020,50,29,6,54,19,1,177,16,2,0,0,0
PHI,2020,47,27,5,71,19,2,196,25,0,0,0,0
PIT,2020,35,20,4,81,27,0,188,21,0,0,0,1
SF,2020,37,33,4,69,20,0,183,20,0,0,0,0
SEA,2020,41,29,6,56,22,0,175,20,1,0,0,1
TB,2020,39,21,5,66,25,0,178,21,1,0,0,1
TEN,2020,54,21,2,45,23,1,166,20,0,0,0,1
WAS,2020,35,24,3,73,23,0,188,30,0,0,0,1
ARI,2021,40,23,5,58,27,2,177,22,0,0,0,1
ATL,2021,50,26,2,53,20,0,170,19,0,0,0,0
BAL,2021,44,21,7,83,15,0,190,20,0,0,0,0
BUF,2021,31,21,2,75,30,1,186,25,1,0,0,1
CAR,2021,42,32,5,75,16,1,197,25,1,0,0,0
CHI,2021,45,27,3,63,16,0,178,24,0,0,0,0
CIN,2021,41,23,8,74,21,0,189,22,0,0,0,1
CLE,2021,42,26,1,71,19,0,182,23,0,0,0,0
DAL,2021,37,29,6,71,34,0,203,23,3,0,0,1
DEN,2021,31,24,7,60,19,0,168,27,0,0,0,0
DET,2021,50,36,5,47,19,0,180,23,0,0,0,0
GB,2021,44,19,3,57,26,0,172,23,0,0,0,1
HOU,2021,52,28,4,57,25,0,189,23,0,0,0,0
IND,2021,42,22,5,62,33,0,181,15,2,0,0,0
JAX,2021,46,32,4,64,9,0,172,17,0,0,0,0
KC,2021,42,20,4,52,29,0,169,22,0,0,0,1
LV,2021,47,27,6,68,15,0,178,15,0,0,0,1
LAC,2021,49,32,3,46,21,0,179,28,0,0,0,0
LAR,2021,35,30,4,62,25,0,181,25,0,0,0,1
MIA,2021,39,31,6,75,26,1,193,14,1,0,0,0
MIN,2021,44,34,6,64,24,0,194,22,0,0,0,0
NE,2021,30,22,11,55,30,0,177,29,0,0,0,1
NO,2021,32,31,7,80,25,0,195,19,1,0,0,0
NYG,2021,42,34,4,67,22,1,184,14,0,0,0,0
NYJ,2021,56,36,3,59,14,0,190,22,0,0,0,0
PHI,2021,46,21,3,63,16,1,180,29,1,0,0,1
PIT,2021,41,34,4,78,22,0,194,13,2,0,0,1
SF,2021,42,21,6,70,20,1,183,23,0,0,0,1
SEA,2021,40,27,6,68,18,0,189,30,0,0,0,0
TB,2021,37,27,4,70,29,0,191,24,0,0,0,1
TEN,2021,38,31,7,67,22,0,186,21,0,0,0,1
WAS,2021,48,27,2,63,19,0,177,18,0,0,0,0
ARI,2022,50,29,2,71,20,0,190,18,0,0,0,0
ATL,2022,41,33,5,54,17,0,170,18,2,0,0,0
BAL,2022,31,31,7,68,25,0,173,11,0,0,0,1
BUF,2022,31,21,7,64,27,1,168,17,0,0,0,1
CAR,2022,42,24,9,78,17,0,193,23,0,0,0,0
CHI,2022,53,21,8,51,23,0,177,21,0,0,0,0
CIN,2022,29,34,6,63,24,0,176,20,0,0,0,1
CLE,2022,42,30,5,64,20,1,187,25,0,0,0,0
DAL,2022,32,34,6,71,33,0,197,20,1,0,0,1
DEN,2022,32,39,2,85,23,0,198,17,0,0,0,0
DET,2022,48,25,5,55,22,1,177,21,0,0,0,0
GB,2022,40,27,7,60,24,0,173,15,0,0,0,0
HOU,2022,40,28,4,73,27,0,193,21,0,0,0,0
IND,2022,45,26,2,75,21,0,197,27,1,0,0,0
JAX,2022,39,26,1,60,27,0,180,27,0,0,0,1
KC,2022,43,23,2,68,20,0,184,28,0,0,0,1
LV,2022,45,28,12,56,13,0,179,24,1,0,0,0
LAC,2022,41,28,7,66,24,0,188,22,0,0,0,1
LAR,2022,35,36,4,59,22,1,173,16,0,0,0,0
MIA,2022,42,27,2,67,14,2,184,29,1,0,0,1
MIN,2022,41,38,6,60,25,0,192,20,2,0,0,1
NE,2022,35,24,5,71,30,0,190,24,1,0,0,0
NO,2022,31,32,3,80,14,0,184,24,0,0,0,0
NYG,2022,37,37,6,67,19,1,181,13,1,0,0,1
NYJ,2022,29,33,10,77,16,1,192,24,2,0,0,0
PHI,2022,37,22,3,73,27,1,179,16,0,0,0,1
PIT,2022,36,30,4,68,23,0,177,16,0,0,0,0
SF,2022,31,16,5,75,30,2,183,24,0,0,0,1
SEA,2022,44,26,6,62,25,1,188,24,0,0,0,1
TB,2022,41,24,3,88,20,0,197,21,0,0,0,1
TEN,2022,38,25,2,84,20,0,189,20,0,0,0,0
WAS,2022,36,26,3,87,18,1,197,26,0,0,0,0
ARI,2023,51,26,5,60,17,0,175,16,0,0,0,0
ATL,2023,35,39,2,78,16,2,195,23,0,0,0,0
BAL,2023,24,32,3,78,31,3,195,24,0,0,0,1
BUF,2023,32,26,2,71,30,0,181,20,0,0,0,1
CAR,2023,44,25,1,81,11,0,183,21,0,0,0,0
CHI,2023,39,24,9,62,28,1,184,21,0,0,0,0
CIN,2023,40,32,3,67,26,0,187,19,0,0,0,0
CLE,2023,38,17,7,112,28,2,222,18,0,0,0,1
DAL,2023,35,22,4,60,26,0,178,29,2,0,0,1
DEN,2023,44,30,5,57,26,1,184,21,0,0,0,0
DET,2023,43,26,4,65,23,0,185,24,0,0,0,1
GB,2023,36,31,7,56,18,0,173,25,0,0,0,1
HOU,2023,36,30,6,73,24,1,190,20,0,0,0,1
IND,2023,43,36,5,73,24,1,203,20,1,0,0,0
JAX,2023,42,21,5,71,27,0,195,29,0,0,0,0
KC,2023,29,22,4,79,17,1,179,27,0,0,0,1
LV,2023,36,25,5,66,22,0,185,31,0,0,0,0
LAC,2023,44,24,3,74,21,0,189,23,0,0,0,0
LAR,2023,38,30,8,65,15,1,185,28,0,0,0,1
MIA,2023,42,18,3,67,27,0,187,30,0,0,0,1
MIN,2023,37,32,4,69,22,1,186,21,0,0,0,0
NE,2023,33,31,7,86,18,1,203,27,0,0,0,0
NO,2023,32,30,5,73,29,0,196,27,0,0,0,0
NYG,2023,45,25,7,72,31,0,199,19,0,0,0,0
NYJ,2023,33,34,5,93,27,1,211,17,1,0,0,0
PHI,2023,48,23,3,59,18,0,175,24,0,0,0,1
PIT,2023,32,32,5,78,27,0,190,14,2,0,0,1
SF,2023,30,29,4,62,28,0,174,21,0,0,0,1
SEA,2023,45,29,6,60,19,0,183,24,0,0,0,0
TB,2023,34,29,7,65,26,1,183,21,0,0,0,1
TEN,2023,30,46,1,69,14,0,176,16,0,0,0,0
WAS,2023,54,35,4,62,18,0,188,15,0,0,0,0
